Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
498.11699999999996,2490.5,115.0,127.363
497.352,2489.65,115.0,127.167
497.291,2478.66,115.0,127.15100000000001
498.06300000000005,2487.8,115.0,127.34899999999999
498.06300000000005,2475.77,115.0,127.34899999999999
497.14099999999996,2475.77,115.0,127.113
496.916,2467.46,115.0,127.055
496.423,2455.43,115.0,126.928
497.22900000000004,2459.78,115.0,127.135
497.22900000000004,2447.79,115.0,127.135
497.49199999999996,2447.79,115.0,127.20299999999999
495.62800000000004,2438.45,115.0,126.72399999999999
495.13300000000004,2426.42,115.0,126.59700000000001
495.13300000000004,2414.43,115.0,126.59700000000001
513.914,2414.43,115.0,131.422
514.4590000000001,2418.72,115.0,131.562
514.4590000000001,2406.69,115.0,131.562
514.0419999999999,2406.69,115.0,131.455
511.069,2407.46,115.0,130.691
510.663,2394.43,115.0,130.58700000000002
513.765,2320.58,115.0,131.384
512.2080000000001,2308.7,115.0,130.984
506.67800000000005,2405.82,115.0,129.563
510.08,2422.54,115.0,130.437
510.08,2410.51,115.0,130.437
509.099,2410.51,115.0,130.185
514.087,2308.76,115.0,131.467
512.656,2296.9,115.0,131.099
507.684,2289.36,115.0,129.822
507.684,2277.5,115.0,129.822
505.50800000000004,2277.5,115.0,129.262
508.235,2268.49,115.0,129.963
506.93,2232.44,115.0,129.628
507.36699999999996,2220.48,115.0,129.74
509.476,2228.09,115.0,130.282
509.476,2216.22,115.0,130.282
507.36199999999997,2216.22,115.0,129.739
505.09,2261.37,115.0,129.155
505.09,2249.54,115.0,129.155
503.48800000000006,2249.54,115.0,128.743
501.906,2258.36,115.0,128.33700000000002
501.906,2246.52,115.0,128.33700000000002
500.615,2246.52,115.0,128.005
501.04400000000004,2256.89,115.0,128.116
501.718,2241.37,115.0,128.289
500.779,2230.53,115.0,128.047
500.207,2218.6,115.0,127.9
498.861,2199.14,115.0,127.555
498.226,2186.31,115.0,127.391
501.402,2171.43,115.0,128.208
501.402,2160.59,115.0,128.208
500.287,2160.59,115.0,127.921
497.795,2174.06,115.0,127.281
497.98900000000003,2199.9,115.0,127.331
496.15,2187.87,115.0,126.85799999999999
496.459,2145.44,115.0,126.93700000000001
496.459,2133.61,115.0,126.93700000000001
496.575,2101.16,115.0,126.96700000000001
496.575,2089.22,115.0,126.96700000000001
495.783,2089.22,115.0,126.764
493.56199999999995,2117.35,115.0,126.193
492.157,2105.52,115.0,125.83200000000001
490.004,2102.34,115.0,125.279
490.004,2090.5,115.0,125.279
488.343,2090.5,115.0,124.852
489.389,2088.52,115.0,125.12100000000001
